id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,basin,region,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_class,waterpoint_type,year_recorded
50785,0.0,2013-02-04,DMDD,1996.0,DMDD,35.2907992,-4.05969643,INTERNAL,MANYARA,MBULU,321,True,PARASTATAL,True,2012.0,OTHER,PARASTATAL,NEVER PAY,GOOD,SEASONAL,SURFACE,OTHER,2013
51630,0.0,2013-02-04,GOVERNMENT OF TANZANIA,1569.0,DWE,36.65670893,-3.30921425,PANGANI,ARUSHA,ARUSHA RURAL,300,True,VWC,True,2000.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
17168,0.0,2013-02-01,UNKNOWN,1567.0,UNKNOWN,34.76786315,-5.00434437,INTERNAL,SINGIDA,SINGIDA RURAL,500,True,VWC,True,2010.0,OTHER,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,SURFACE,OTHER,2013
45559,0.0,2013-01-22,FINN WATER,267.0,FINN WATER,38.05804609,-9.41867222,RUVUMA / SOUTHERN COAST,LINDI,LIWALE,250,True,VWC,True,1987.0,OTHER,USER-GROUP,UNKNOWN,GOOD,DRY,GROUNDWATER,OTHER,2013
49871,500.0,2013-03-27,BRUDER,1260.0,BRUDER,35.00612345,-10.950412,RUVUMA / SOUTHERN COAST,RUVUMA,MBINGA,60,True,WATER BOARD,True,2000.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
52449,0.0,2013-03-04,GOVERNMENT OF TANZANIA,1685.0,DWE,36.68527855,-3.30242017,PANGANI,ARUSHA,ARUSHA RURAL,200,True,VWC,True,1990.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
24806,0.0,2011-03-02,GOVERNMENT OF TANZANIA,550.0,GOVER,36.39804116,-7.54138236,RUFIJI,IRINGA,KILOLO,600,True,VWC,True,2007.0,HANDPUMP,USER-GROUP,NEVER PAY,SALTY,ENOUGH,GROUNDWATER,HAND PUMP,2011
28965,0.0,2013-01-25,FINW,234.0,FINW,39.60741997,-10.89378645,RUVUMA / SOUTHERN COAST,MTWARA,TANDAHIMBA,1,True,WATER BOARD,True,1982.0,SUBMERSIBLE,USER-GROUP,NEVER PAY,GOOD,DRY,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2013
36301,30.0,2013-01-23,UNICEF,584.0,LGA,39.26295070000001,-10.82358805,RUVUMA / SOUTHERN COAST,MTWARA,NEWALA,40,True,VWC,False,1997.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
54122,0.0,2013-03-18,LAWATEFUKA WATER SUPPLY,1083.0,LAWATEFUKA WATER SUP,37.09610836,-3.25175375,PANGANI,KILIMANJARO,SIHA,1,True,WATER BOARD,True,2003.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
419,5.0,2013-10-03,GERMANY REPUBLI,1259.0,CES,37.23324768,-3.24112116,PANGANI,KILIMANJARO,HAI,75,True,WATER BOARD,True,2006.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
45750,0.0,2013-02-27,WORLD VISION,608.0,WORLD VISION,37.68639178,-4.55597478,PANGANI,MANYARA,SIMANJIRO,500,True,VWC,True,2002.0,OTHER,USER-GROUP,NEVER PAY,GOOD,DRY,SURFACE,OTHER,2013
653,0.0,2012-10-11,WORLD BANK,0.0,BUILDING WORKS COMPANY LTD,33.66107435,-4.16572015,INTERNAL,TABORA,IGUNGA,0,True,OTHER,True,0.0,MOTORPUMP,USER-GROUP,UNKNOWN,GOOD,DRY,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2012
14017,0.0,2011-07-29,MINISTRY OF WATER,0.0,DWE,33.00768032,-3.2095291,LAKE VICTORIA,MWANZA,KWIMBA,0,True,VWC,True,0.0,MOTORPUMP,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2011
44607,1000.0,2011-03-02,DANIDA,1625.0,DANID,35.61562385,-7.87029042,RUFIJI,IRINGA,IRINGA RURAL,1,True,VWC,True,1984.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
40228,1200.0,2013-06-03,DANIDA,916.0,DWE,35.48288627,-10.91259619,RUVUMA / SOUTHERN COAST,RUVUMA,SONGEA RURAL,60,True,VWC,True,1989.0,GRAVITY,USER-GROUP,ANNUALLY,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE MULTIPLE,2013
27714,0.0,2011-02-24,UNKNOWN,-39.0,UNKNOWN,39.85018977,-7.72794628,RUFIJI,PWANI,MAFIA,900,True,VWC,False,2006.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2011
28785,200.0,2011-03-11,GOVERNMENT OF TANZANIA,1793.0,DWE,38.25402354,-4.5658016,PANGANI,TANGA,LUSHOTO,1,True,VWC,True,1978.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
28330,0.0,2012-10-06,RURAL WATER SUPPLY AND SANITAT,0.0,DWE,31.58679783,-3.38780779,LAKE TANGANYIKA,SHINYANGA,BUKOMBE,0,True,PARASTATAL,True,0.0,GRAVITY,PARASTATAL,UNKNOWN,GOOD,SEASONAL,SURFACE,COMMUNAL STANDPIPE,2012
